GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,,,,,,,,,,,,,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,,,,,,,,,,,,,
0400000US42,42,Pennsylvania,12702379,12702857,12712343,12744293,12771854,12781338,12790565,12791904,12784227,,Pennsylvania,12771854,,1.000746761,1.002513305,1.002162615,1.00074257,1.000721912,1.000104687,0.999399855,,1.005654662
0400000US44,44,Rhode Island,1052567,1052940,1053337,1052451,1052901,1053033,1054480,1055607,1056426,,Rhode Island,1052901,,1.00037704,0.999158864,1.000427573,1.000125368,1.001374126,1.001068773,1.000775857,,1.002932585
0400000US45,45,South Carolina,4625364,4625410,4635943,4672637,4720760,4767894,4828430,4894834,4961119,,South Carolina,4720760,,1.002277204,1.00791511,1.010298895,1.009984409,1.012696591,1.013752711,1.013541828,,1.070142364
0400000US46,46,South Dakota,814180,814195,816325,824398,834441,844922,852561,857919,865454,,South Dakota,834441,,1.002616081,1.009889444,1.012182223,1.012560505,1.009041071,1.006284594,1.00878288,,1.060183138
0400000US47,47,Tennessee,6346105,6346298,6356671,6397634,6454306,6494821,6544663,6595056,6651194,,Tennessee,6454306,,1.001634496,1.006444096,1.008858275,1.006277205,1.007674114,1.007699862,1.008512134,,1.0463329
0400000US48,48,Texas,25145561,25146100,25244310,25646389,26071655,26473525,26944751,27429639,27862596,,Texas,26071655,,1.003905576,1.01592751,1.016581906,1.015414058,1.017799896,1.017995639,1.015784276,,1.103717868
0400000US49,49,Utah,2763885,2763888,2775326,2816124,2855782,2902663,2941836,2990632,3051217,,Utah,2855782,,1.004138373,1.014700255,1.014082476,1.016416169,1.013495538,1.016586921,1.02025826,,1.099408502
0400000US50,50,Vermont,625741,625741,625982,626730,626444,627140,626984,626088,624594,,Vermont,626444,,1.000385143,1.001194923,0.999543663,1.001111033,0.999751252,0.998570936,0.997613754,,0.997782684
0400000US51,51,Virginia,8001024,8001041,8025773,8110035,8192048,8262692,8317372,8367587,8411808,,Virginia,8192048,,1.003091098,1.010498926,1.010112533,1.008623485,1.006617698,1.006037364,1.005284797,,1.048099417
0400000US53,53,Washington,6724540,6724545,6743226,6822520,6895226,6968006,7054196,7160290,7288000,,Washington,6895226,,1.002778032,1.01175906,1.010656766,1.010555129,1.012369392,1.015039843,1.01783587,,1.080788335
0400000US54,54,West Virginia,1852994,1853011,1854230,1854972,1856560,1853231,1848514,1841053,1831102,,West Virginia,1856560,,1.000657848,1.000400166,1.000856078,0.998206899,0.997454716,0.995963785,0.994594941,,0.987526898
0400000US55,55,Wisconsin,5686986,5687289,5690263,5709640,5726177,5742854,5758377,5767891,5778708,,Wisconsin,5726177,,1.00052292,1.003405291,1.00289633,1.002912414,1.002703011,1.001652202,1.001875382,,1.015543218
0400000US56,56,Wyoming,563626,563767,564513,567725,576765,582684,583642,586555,585501,,Wyoming,576765,,1.001323242,1.00568986,1.015923202,1.010262412,1.001644116,1.004991073,0.998203067,,1.037178949
0400000US72,72,Puerto Rico,3725789,3726157,3721525,3678732,3634488,3593077,3534874,3473181,3411307,,Puerto Rico,3634488,,0.998756896,0.988501219,0.98797303,0.988606098,0.983801349,0.982547327,0.982185207,,0.916642237
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6020571.5,6064270.962,6108324.365,6149961.25,6194198.654,6237880.75,6279592.692,,,,,,,,,,,,,0.208918131
,,,,,43699.46154,44053.40385,41636.88462,44237.40385,43682.09615,41711.94231,,,,,,,,,,,,,,0.038469673
,,,,,43170.19872,1178.023777,0.027287893,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17.76289278
